,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,AMZN,FB,GOOGL,AAPL,AMZN,FB,GOOGL,AAPL,AMZN,FB,GOOGL,AAPL,AMZN,FB,GOOGL,AAPL,AMZN,FB,GOOGL,AAPL,AMZN,FB,GOOGL
Date,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-16,168.5518035888672,1448.68994140625,177.36000061035156,1095.5,172.42999267578125,1448.68994140625,177.36000061035156,1095.5,174.82000732421875,1465.800048828125,179.8800048828125,1108.31005859375,171.77000427246094,1446.56005859375,176.3000030517578,1091.550048828125,172.36000061035156,1457.3699951171875,178.99000549316406,1093.3800048828125,40176100,4472600,20645300,1997400
2018-02-20,167.98484802246094,1468.3499755859375,176.00999450683594,1103.5899658203125,171.85000610351562,1468.3499755859375,176.00999450683594,1103.5899658203125,174.25999450683594,1488.77001953125,177.9499969482422,1116.2900390625,171.4199981689453,1446.489990234375,175.11000061035156,1090.0,172.0500030517578,1446.489990234375,175.77000427246094,1092.760009765625,33930500,6499200,21204900,1687700
2018-02-21,167.222412109375,1482.9200439453125,177.91000366210938,1113.75,171.07000732421875,1482.9200439453125,177.91000366210938,1113.75,174.1199951171875,1503.489990234375,181.27000427246094,1136.199951171875,171.00999450683594,1478.9200439453125,176.39999389648438,1107.510009765625,172.8300018310547,1485.0,176.7100067138672,1109.0999755859375,37471600,6304400,23200800,2074300
2018-02-22,168.62022399902344,1485.3399658203125,178.99000549316406,1109.9000244140625,172.5,1485.3399658203125,178.99000549316406,1109.9000244140625,173.9499969482422,1502.5400390625,180.2100067138672,1125.4599609375,171.7100067138672,1475.760009765625,177.41000366210938,1105.1500244140625,171.8000030517578,1495.3599853515625,178.6999969482422,1119.1700439453125,30991900,4858100,18464200,1400500
2018-02-23,171.552734375,1500.0,183.2899932861328,1128.0899658203125,175.5,1500.0,183.2899932861328,1128.0899658203125,175.64999389648438,1500.0,183.38999938964844,1129.0,173.5399932861328,1486.5,179.50999450683594,1108.43994140625,173.6699981689453,1495.3399658203125,179.89999389648438,1118.6600341796875,33812400,4418100,19007300,1264600
2018-02-26,174.9447021484375,1521.949951171875,184.92999267578125,1143.699951171875,178.97000122070312,1521.949951171875,184.92999267578125,1143.699951171875,179.38999938964844,1522.8399658203125,185.66000366210938,1144.199951171875,176.2100067138672,1507.0,183.22000122070312,1129.3399658203125,176.35000610351562,1509.199951171875,184.5800018310547,1131.8599853515625,38162200,4955000,17599700,1545600
2018-02-27,174.37774658203125,1511.97998046875,181.4600067138672,1117.510009765625,178.38999938964844,1511.97998046875,181.4600067138672,1117.510009765625,180.47999572753906,1526.780029296875,184.6999969482422,1144.25,178.16000366210938,1507.2099609375,181.4600067138672,1116.7900390625,179.10000610351562,1524.5,184.4499969482422,1143.699951171875,38928100,4808800,15849800,2148200
2018-02-28,174.11383056640625,1512.449951171875,178.32000732421875,1103.9200439453125,178.1199951171875,1512.449951171875,178.32000732421875,1103.9200439453125,180.6199951171875,1528.699951171875,182.8800048828125,1127.6500244140625,178.0500030517578,1512.0,178.13999938964844,1103.0,179.25999450683594,1519.510009765625,182.3000030517578,1122.0,37782100,4515000,18783000,2464600
2018-03-01,171.06399536132812,1493.449951171875,175.94000244140625,1071.4100341796875,175.0,1493.449951171875,175.94000244140625,1071.4100341796875,179.77999877929688,1518.489990234375,180.1199951171875,1111.27001953125,172.66000366210938,1465.0,174.41000366210938,1067.2900390625,178.5399932861328,1513.5999755859375,179.00999450683594,1109.5400390625,48802000,6835200,23201600,2766900
2018-03-02,172.2467803955078,1500.25,176.6199951171875,1084.1400146484375,176.2100067138672,1500.25,176.6199951171875,1084.1400146484375,176.3000030517578,1501.050048828125,177.11000061035156,1086.8900146484375,172.4499969482422,1455.010009765625,172.99000549316406,1050.1099853515625,172.8000030517578,1469.0999755859375,173.2899932861328,1057.97998046875,38454000,6587600,20025900,2508100
